Date,Open,High,Low,Close,Volume
10/18/2023,175.580002,177.580002,175.110001,175.839996,54764400
10/19/2023,176.039993,177.839996,175.190002,175.460007,59302900
10/20/2023,175.309998,175.419998,172.639999,172.880005,64189300
10/23/2023,170.910004,174.009995,169.929993,173,55980100
10/24/2023,173.050003,173.669998,171.449997,173.440002,43816600
10/25/2023,171.880005,173.059998,170.649994,171.100006,57157000
10/26/2023,170.369995,171.380005,165.669998,166.889999,70625300
10/27/2023,166.910004,168.960007,166.830002,168.220001,58499100
10/30/2023,169.020004,171.169998,168.869995,170.289993,51131000
10/31/2023,169.350006,170.899994,167.899994,170.770004,44846000
11/1/2023,171,174.229996,170.119995,173.970001,56934900
11/2/2023,175.520004,177.779999,175.460007,177.570007,77334800
11/3/2023,174.240005,176.820007,173.350006,176.649994,79763700
11/6/2023,176.380005,179.429993,176.210007,179.229996,63841300
11/7/2023,179.179993,182.440002,178.970001,181.820007,70530000
11/8/2023,182.350006,183.449997,181.589996,182.889999,49340300
11/9/2023,182.960007,184.119995,181.809998,182.410004,53763500
11/10/2023,183.970001,186.570007,183.529999,186.399994,66133400
11/13/2023,185.820007,186.029999,184.210007,184.800003,43627500
11/14/2023,187.699997,188.110001,186.300003,187.440002,60108400
11/15/2023,187.850006,189.5,187.779999,188.009995,53790500
11/16/2023,189.570007,190.960007,188.649994,189.710007,54412900
11/17/2023,190.25,190.380005,188.570007,189.690002,50922700
11/20/2023,189.889999,191.910004,189.880005,191.449997,46505100
11/21/2023,191.410004,191.520004,189.740005,190.639999,38134500
11/22/2023,191.490005,192.929993,190.830002,191.309998,39617700
11/24/2023,190.869995,190.899994,189.25,189.970001,24048300
11/27/2023,189.919998,190.669998,188.899994,189.789993,40552600
11/28/2023,189.779999,191.080002,189.399994,190.399994,38415400
11/29/2023,190.899994,192.089996,188.970001,189.369995,43014200
11/30/2023,189.839996,190.320007,188.190002,189.949997,48794400
12/1/2023,190.330002,191.559998,189.229996,191.240005,45679300
12/4/2023,189.979996,190.050003,187.449997,189.429993,43389500
12/5/2023,190.210007,194.399994,190.179993,193.419998,66628400
12/6/2023,194.449997,194.759995,192.110001,192.320007,41089700
12/7/2023,193.630005,195,193.589996,194.270004,47477700
12/8/2023,194.199997,195.990005,193.669998,195.710007,53377300
12/11/2023,193.110001,193.490005,191.419998,193.179993,60943700
12/12/2023,193.080002,194.720001,191.720001,194.710007,52696900
12/13/2023,195.089996,198,194.850006,197.960007,70404200
12/14/2023,198.020004,199.619995,196.160004,198.110001,66831600
12/15/2023,197.529999,198.399994,197,197.570007,128256700
12/18/2023,196.089996,196.630005,194.389999,195.889999,55751900
12/19/2023,196.160004,196.949997,195.889999,196.940002,40714100
12/20/2023,196.899994,197.679993,194.830002,194.830002,52242800
12/21/2023,196.100006,197.080002,193.5,194.679993,46482500
12/22/2023,195.179993,195.410004,192.970001,193.600006,37122800
12/26/2023,193.610001,193.889999,192.830002,193.050003,28919300
12/27/2023,192.490005,193.5,191.089996,193.149994,48087700
12/28/2023,194.139999,194.660004,193.169998,193.580002,34049900
12/29/2023,193.899994,194.399994,191.729996,192.529999,42628800
1/2/2024,187.149994,188.440002,183.889999,185.639999,82488700
1/3/2024,184.220001,185.880005,183.429993,184.25,58414500
1/4/2024,182.149994,183.089996,180.880005,181.910004,71983600
1/5/2024,181.990005,182.759995,180.169998,181.179993,62303300
1/8/2024,182.089996,185.600006,181.5,185.559998,59144500
1/9/2024,183.919998,185.149994,182.729996,185.139999,42841800
1/10/2024,184.350006,186.399994,183.919998,186.190002,46792900
1/11/2024,186.539993,187.050003,183.619995,185.589996,49128400
1/12/2024,186.059998,186.740005,185.190002,185.919998,40444700
1/16/2024,182.160004,184.259995,180.929993,183.630005,65603000
1/17/2024,181.270004,182.929993,180.300003,182.679993,47279600
1/18/2024,181.270004,187.160004,185.839996,186.789703,11154864
